"location","doy","hour","soil.moist"
"ag field",195,8,0.255892285333333
"ag field",195,9,0.256651004666667
"ag field",195,10,0.257824653333333
"ag field",195,11,0.260054026888889
"ag field",195,12,0.261449439444444
"ag field",195,13,0.260850537222222
"ag field",195,14,0.261505638666667
"ag field",195,15,0.262015767888889
"ag field",195,16,0.260857379555555
"ag field",195,17,0.257014246555555
"ag field",195,18,0.254620815222222
"ag field",195,19,0.253045284
"ag field",195,20,0.252183075888889
"ag field",195,21,0.251255341444444
"ag field",195,22,0.250685033222222
"ag field",195,23,0.250082095555556
"ag field",196,0,0.249928953888889
"ag field",196,1,0.249768726444444
"ag field",196,2,0.249597091
"ag field",196,3,0.249436921444444
"ag field",196,4,0.248971422555556
"ag field",196,5,0.249009657333333
"ag field",196,6,0.249347910222222
"ag field",196,7,0.249888769444444
"ag field",196,8,0.250271890777778
"ag field",196,9,0.251166395111111
"ag field",196,10,0.252455832777778
"ag field",196,11,0.254363632
"ag field",196,12,0.255960050333333
"ag field",196,13,0.257050014777778
"ag field",196,14,0.257724848
"ag field",196,15,0.256780671222222
"ag field",196,16,0.255710600111111
"ag field",196,17,0.251942159222222
"ag field",196,18,0.249598433111111
"ag field",196,19,0.248077591333333
"ag field",196,20,0.246922922222222
"ag field",196,21,0.246253142444444
"ag field",196,22,0.245644963666667
"ag field",196,23,0.245393904555556
"ag field",197,0,0.245096344222222
"ag field",197,1,0.244956943666667
"ag field",197,2,0.244992989222222
"ag field",197,3,0.244848446888889
"ag field",197,4,0.245097107111111
"ag field",197,5,0.245036246333333
"ag field",197,6,0.245138262333333
"ag field",197,7,0.245460758888889
"ag field",197,8,0.245876462777778
"ag field",197,9,0.245960452777778
"ag field",197,10,0.246612661
"ag field",197,11,0.247843119
"ag field",197,12,0.249049635666667
"ag field",197,13,0.248776678444444
"ag field",197,14,0.250308202555556
"ag field",197,15,0.249884562333333
"ag field",197,16,0.248188717
"ag field",197,17,0.246390274
"ag field",197,18,0.245068221444444
"ag field",197,19,0.243858011888889
"ag field",197,20,0.242678366888889
"ag field",197,21,0.241889850222222
"ag field",197,22,0.241465046555556
"ag field",197,23,0.241516970888889
"ag field",198,0,0.241679594333333
"ag field",198,1,0.241493855888889
"ag field",198,2,0.241217778111111
"ag field",198,3,0.241081294888889
"ag field",198,4,0.240859766222222
"ag field",198,5,0.240657073333333
"ag field",198,6,0.240976682888889
"ag field",198,7,0.242014471555555
"ag field",198,8,0.243185446111111
"ag field",198,9,0.244559724777778
"ag field",198,10,0.246505925222222
"ag field",198,11,0.248617526
"ag field",198,12,0.250137394666667
"ag field",198,13,0.250740722
"ag field",198,14,0.250237539
"ag field",198,15,0.250219751444444
"ag field",198,16,0.248113167111111
"ag field",198,17,0.245575715
"ag field",198,18,0.243755826555556
"ag field",198,19,0.241857584555556
"ag field",198,20,0.240263397666667
"ag field",198,21,0.239208698888889
"ag field",198,22,0.238589822777778
"ag field",198,23,0.238021999666667
"ag field",199,0,0.237581773444444
"ag field",199,1,0.237271469333333
"ag field",199,2,0.237057617444444
"ag field",199,3,0.237183447333333
"ag field",199,4,0.237554766222222
"ag field",199,5,0.237782023777778
"ag field",199,6,0.237931882444444
"ag field",199,7,0.238474810444444
"ag field",199,8,0.24306116
"ag field",199,9,0.298780720888889
