"year","doy","Lat","Long","Tmax","Tmin","Prcp","elev","siteDesc"
2012,90,43.714985,-72.286171,15.96,2.34,263,141,"Rural"
2012,93,43.714233,-72.261688,15.15,1.98,272,267,"Rural"
2012,117,39.699913,-78.946289,15.97,4.01,316,818,"Rural"
2012,87,37.228432,-80.421463,20.09,7.15,345,619,"Urban"
2012,118,42.611107,-71.965851,15.33,3.33,243,1138,"Rural"
2012,118,42.611107,-71.965851,15.33,3.33,243,1138,"Rural"
2012,120,44.269394,-70.102585,14.12,2.09,340,111,"Rural"
2012,110,43.522804,-70.802277,14.47,2.16,279,207,"Rural"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,144,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2013,99,42.283501,-83.771729,13.45,1.65,226,275,"Urban"
2013,100,40.866283,-73.875717,15.14,5.57,257,21,"Urban"
2013,100,40.866283,-73.875717,15.14,5.57,257,21,"Urban"
2013,101,40.866283,-73.875717,15.14,5.57,257,21,"Urban"
2013,100,40.866283,-73.875717,15.14,5.57,257,21,"Urban"
2013,121,42.382767,-85.343567,13.54,2.27,257,280,"Rural"
2013,74,36.902622,-76.206039,18.95,8.91,256,3,"Urban"
2013,94,36.904579,-76.19651,18.91,8.93,251,2,"Urban"
2013,86,36.90799,-76.196022,18.91,8.93,251,1,"Urban"
2013,122,45.195858,-70.45369,9.64,-2.2,261,360,"Rural"
2013,122,45.195858,-70.45369,9.64,-2.2,261,360,"Rural"
2013,127,44.999458,-67.422913,10.46,-0.08,373,113,"Rural"
2013,105,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,119,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,105,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,119,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,105,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,119,43.012966,-73.649918,14.45,1.6,302,108,"Rural"
2013,126,43.078892,-85.627914,12.16,1.5,414,240,"Rural"
2013,126,43.078892,-85.627914,12.16,1.5,414,240,"Rural"
2013,122,44.269394,-70.102585,11.66,0.39,255,111,"Rural"
2013,122,43.051842,-77.256432,13.34,2.4,198,157,"Rural"
2013,121,43.522804,-70.802277,12.04,0.1,247,207,"Rural"
2013,123,45.37743,-68.497353,11.24,-0.48,260,86,"Rural"
2013,129,45.37743,-68.497353,11.24,-0.48,260,86,"Rural"
2013,116,45.37743,-68.497353,11.24,-0.48,260,86,"Rural"
2013,119,45.37743,-68.497353,11.24,-0.48,260,86,"Rural"
2013,64,34.291664,-85.63031,20.77,7.67,543,195,"Rural"
2013,121,43.373749,-73.782425,12.83,0.13,295,243,"Rural"
2013,106,37.233208,-80.424484,15.17,3.55,327,622,"Rural"
2013,84,37.226151,-80.422798,15.19,3.57,324,618,"Urban"
2013,58,37.226284,-80.421921,15.19,3.57,324,2050,"Urban"
2013,125,43.804306,-90.464005,9.17,-1.13,402,406,"Rural"
2013,87,37.230103,-80.419601,15.17,3.55,327,634,"Urban"
2013,105,37.226231,-80.424202,15.19,3.57,324,618,"Urban"
2013,114,43.999718,-69.55117,11.16,1.75,267,28,"Rural"
2013,113,38.260456,-85.7995,18.14,7.1,301,136,"Urban"
2013,94,43.0774,-70.910919,13.6,1.59,246,12,"Rural"
2013,126,41.931305,-74.199905,14.14,1.79,234,156,"Rural"
2013,125,42.97868,-70.959869,13.67,1.72,256,14,"Urban"
2013,125,42.967396,-72.447968,13.74,0.27,247,120,"Rural"
2013,101,43.096924,-70.950233,13.58,1.51,250,22,"Rural"
2013,125,44.980476,-93.142731,9.19,-0.51,373,267,"Urban"
2013,125,44.980476,-93.142731,9.19,-0.51,373,267,"Urban"
2013,125,44.980476,-93.142731,9.19,-0.51,373,267,"Urban"
2013,125,44.980476,-93.142731,9.19,-0.51,373,267,"Urban"
2013,125,44.980476,-93.142731,9.19,-0.51,373,267,"Urban"
2014,112,42.283501,-83.771729,13.04,0.04,216,275,"Urban"
2014,107,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,112,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,107,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,112,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,107,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,112,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,100,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,108,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,116,40.866283,-73.875717,15,4.65,431,21,"Urban"
2014,116,42.382767,-85.343567,13.02,0.35,197,280,"Rural"
2014,99,36.440838,-84.323586,20.07,5.55,416,384,"Rural"
2014,95,36.902622,-76.206039,19.76,8.88,419,3,"Urban"
2014,103,36.904579,-76.19651,19.71,8.89,344,2,"Urban"
2014,95,36.90799,-76.196022,19.71,8.89,344,1,"Urban"
2014,132,45.195858,-70.45369,7.75,-5.12,270,360,"Rural"
2014,132,45.195858,-70.45369,7.75,-5.12,270,360,"Rural"
