"doy","control.temp","removal.temp"
191,18.947265625,19.3216145833333
192,18.3326822916667,18.5703125
193,17.8157552083333,17.8919270833333
194,19.2799479166667,19.6920572916667
195,19.9251302083333,20.3196614583333
196,20.1380208333333,20.541015625
197,20.508152173913,20.8291666666667
215,16.8920454545455,17.1715909090909
216,16.7513020833333,17.0247395833333
217,17.5234375,17.931640625
218,18.408203125,18.8372395833333
219,19.5123697916667,20.09375
220,19.9973958333333,20.625
221,20.0774739583333,20.5286458333333
222,20.8743489583333,21.3626302083333
223,21.50390625,22.1614583333333
224,21.7734375,22.54296875
225,21.90234375,22.7180989583333
226,20.623046875,20.962890625
227,18.408203125,18.513671875
228,17.9440104166667,18.1458333333333
229,19.138671875,19.6080729166667
230,20.0247395833333,20.66796875
231,20.37890625,20.96484375
232,20.646484375,21.2916666666667
233,21.1028645833333,21.7877604166667
234,21.4485677083333,22.029296875
235,21.3404947916667,21.9557291666667
236,21.2200520833333,21.6549479166667
237,21.3118489583333,21.7591145833333
238,22.3481404958678,22.9901859504132
239,22.0460069444444,22.5559895833333
240,20.23046875,20.4635416666667
241,20.4192708333333,20.8563368055556
242,20.9188368055556,21.3342013888889
243,19.6684027777778,19.9157986111111
244,18.2530381944444,18.3741319444444
245,16.4791666666667,16.2990451388889
246,16.1427951388889,16.1566840277778
247,15.9144230769231,15.9722222222222
